id,regle,exemple_fautif,exemple_corrige,page
P1,Virgule,"C'est l'histoire d'un vieil homme qui s'accroche, à un ordre social révolu depuis longtemps.","C'est l'histoire d'un vieil homme qui s'accroche à un ordre social révolu depuis longtemps.",8
P2,Ponctuation finale,"Un plan d'eau dont la superficie est plus petite que 20 000 mètres carrés, est considéré comme un étang.","Un plan d'eau dont la superficie est plus petite que 20 000 mètres carrés est considéré comme un étang.",9
P2,Ponctuation finale,"Peut-on affirmer que les théories de Freud sont totalement discréditées aujourd'hui?","Peut-on affirmer que les théories de Freud sont totalement discréditées aujourd'hui ?",9
P3,Deux-points,"Il a rapidement rempli panier des denrées suivantes : des pommes, des oranges et des bananes.","Il a rapidement rempli le panier des denrées suivantes : des pommes, des oranges et des bananes.",9
P3,Deux-points,"Nous créerons ensemble toute la journée, soit : de 9 h à 16 h.","Nous créerons ensemble toute la journée, soit de 9 h à 16 h.",9
P4,Point-virgule,"Elle a gagné pasalement d'argent pour cette seule journée; elle a touché plus de 660 dollars.","Elle a gagné passablement d'argent pour cette seule journée; elle a touché plus de 660 dollars.",10
P5,Guillemets,"Tout le monde connaît cette citation « on ne voit bien qu'avec le cœur. L'essentiel est invisible pour les yeux. » (l. 71)","Tout le monde connaît cette citation : « On ne voit bien qu'avec le cœur. L'essentiel est invisible pour les yeux. » (l. 71)",10
P6,Crochets,"Dans le poème « La guerre et ce qui s'ensuit », tiré du Ronan inachevé (1950), Aragon écrit à propos d'un jeune homme qui « courait les filles » (v. 25).","Dans le poème « La guerre et ce qui s'ensuit », tiré du Ronan inachevé (1950), Aragon écrit à propos d'un jeune homme qui « courait [après] les filles » (v. 25).",11
P7,Parenthèses,"Beaudoin-Bégin rappelle que la pérennité d'une langue dépend de ses locuteurs : « Une langue ne disparaît pas quand elle s'éloigne de la norme prescriptive, elle disparaît quand elle n'est plus utilisée, point. » (p. 106)","Beaudoin-Bégin rappelle que la pérennité d'une langue dépend de ses locuteurs : « Une langue ne disparaît pas quand elle s'éloigne de la norme prescriptive; elle disparaît quand elle n'est plus utilisée, point. » (p. 106).",11
P8,Tiret,"La maladie de Crohn - une maladie inflammatoire chronique du système digestif - peut entraîner plusieurs autres problèmes de santé.","La maladie de Crohn — une maladie inflammatoire chronique du système digestif — peut entraîner plusieurs autres problèmes de santé.",12
P9,Barre oblique,"Les paronymes conjoncture/conjoncture sont la cause de nombreuses erreurs.","Les paronymes conjoncture/conjecture sont la cause de nombreuses erreurs.",12
P10,Citation,"La métaphore « Il était ivre, ivre de distances, ivre de départ. » (l. 78) rend compte du désir d'aventure du personnage.","La métaphore « Il était ivre, ivre de distances, ivre de départ » (l. 78) rend compte du désir d'aventure du personnage.",12
P11,Majuscule/minuscule,"Ces personnes sont non binaires : Elles s'identifient à la fois comme homme et femme.","Ces personnes sont non binaires : elles s'identifient à la fois comme homme et femme.",14
P12,Élision,"S'il te plaît, ne mets pas d'yogourt dans la salade.","S'il te plaît, ne mets pas de yogourt dans la salade.",14
P13,Abréviation,"Mr Gilbert a commandé 15 kg. de filet mignon de bœuf.","M. Gilbert a commandé 15 kg de filet mignon de bœuf.",14
P14,Titre d'ouvrage,"Anne-Cécile Robert, dans son essai La stratégie de l'émotion (2018), critique la prédominance de l'affectif.","Anne-Cécile Robert, dans son essai *La stratégie de l'émotion* (2018), critique la prédominance de l'affectif.",14
P17,Trait d'union,"Plusieurs d'entre-elles ont refusé de porter plainte.","Plusieurs d'entre elles ont refusé de porter plainte.",15
P19,Autre erreur,"Veuillez fournir vos avis de cotisation des 2 dernières années.","Veuillez fournir vos avis de cotisation des deux dernières années.",16
S4,Préposition,"Des solutions ont été envisagées afin de pallier à certains problèmes liés au manque de main-d'œuvre.","Des solutions ont été envisagées afin de pallier certains problèmes liés au manque de main-d'œuvre.",18
S5,Liaison syntaxique,"Tristan aime et joue au hockey depuis plusieurs années.","Tristan aime le hockey et y joue depuis plusieurs années.",18
S6,Reprise pronominale,"Les vaccins que j'ai besoin sont en pénurie au Canada en ce moment.","Les vaccins dont j'ai besoin sont en pénurie au Canada en ce moment.",20
S7,Correspondance des temps,"Si les trottoirs seraient déblayés, j'irais travailler à pied.","Si les trottoirs étaient déblayés, j'irais travailler à pied.",20
S8,Sujet principal,"Étant en rédaction depuis un an, les effets polluants de l'hydroélectricité sont analysés dans le mémoire que je soumettrai.","Étant en rédaction depuis un an, j'analyse les effets polluants de l'hydroélectricité dans le mémoire que je soumettrai.",21
S9,Auxiliaire,"Il y avait une dizaine de témoins, mais aucun n'a intervenu.","Il y avait une dizaine de témoins, mais aucun n'est intervenu.",21
S10,Citation,"Par exemple, cette pensée d'Hubert Reeves dans Dernières nouvelles du cosmos : « La vision scientifique et la vision poétique, loin d'exclure, se rejoignent... »","Par exemple, cette pensée d'Hubert Reeves dans Dernières nouvelles du cosmos : « La vision scientifique et la vision poétique, loin de s'exclure, se rejoignent... »",22
S11,Déterminant,"Elle s'est cassé sa jambe.","Elle s'est cassé la jambe.",22
S12,Déformation,"Selon les producteurs acéricoles du Québec, ça l'a été une bonne année pour le sirop d'érable.","Selon les producteurs acéricoles du Québec, ç'a été une bonne année pour le sirop d'érable.",23
U1,Orthographe,"Ce soir, nous sommes sensés apercevoir des aurores boréales.","Ce soir, nous sommes censés apercevoir des aurores boréales.",25
U2,Locution,"Les goélands, les mouettes et les sternes font partis de la famille des laridés.","Les goélands, les mouettes et les sternes font partie de la famille des laridés.",25
V1,Impropriété,"Le passage cité démontre une métaphore.","Le passage cité contient une métaphore.",26
V2,Anglicisme,"Il a mis l'emphase sur les réussites du modèle économique norvégien.","Il a mis l'accent sur les réussites du modèle économique norvégien.",26
V3,Pléonasme,"Vous devez recommencer à nouveau.","Vous devez recommencer.",26
V4,Répétition,"L'encan se tiendra ce vendredi prochain au centre communautaire de Drummondville.","L'encan se tiendra ce vendredi au centre communautaire de Drummondville.",26
V5,Barbarisme,"L'hôtel a commandé 1500 têtes d'oreiller.","L'hôtel a commandé 1500 taies d'oreiller.",27
