categorie_id,categorie,code,regle,explication,exemples_incorrects,exemples_corrects,source_pages
G,Orthographe grammaticale,G1,"Le déterminant s'accorde généralement en genre et en nombre avec le nom qu'il accompagne.","Le nom, le complément du nom et l'adjectif s'accordent selon le contexte et le sens.","Le monde virtuel constitue, pour certains, une échappatoire à la vie réelle. | A cette occasion, vous pourrez vous procurer gratuitement botte et mitaine. | J'ai six ans d'expériences dans le domaine de l'éducation à l'enfance. | La conférence sur le climat a intéressé un grand nombre de personne.","Le monde virtuel constitue, pour certains, un échappatoire à la vie réelle. | À cette occasion, vous pourrez vous procurer gratuitement des bottes et des mitaines. | J'ai six ans d'expérience dans le domaine de l'éducation à l'enfance. | La conférence sur le climat a intéressé un grand nombre de personnes.",3
G,Orthographe grammaticale,G2,"Le pronom s'accorde généralement avec son antécédent.",,"L'hémoglobine qu'elles contiennent se lie à l'oxygène.","L'hémoglobine qu'ils contiennent se lie à l'oxygène.",4
G,Orthographe grammaticale,G3,"Le verbe conjugué à un temps simple s'accorde avec son sujet.","L'infinitif est invariable.","Nous nous intéresserons aux façons de les mettres en pratique. | Il faudra augmenté la dose.","Nous nous intéresserons aux façons de les mettre en pratique. | Il faudra augmenter la dose.",4
G,Orthographe grammaticale,G4,"La terminaison du participe passé dépend du groupe verbal.","L'accord dépend notamment de l'auxiliaire, du sujet et du complément direct.","produits financiers offert | Sorti en 1970, les films | la municipalité a investit | les oiseaux qu'elle a vu","produits financiers offerts | Sortis en 1970, les films | la municipalité a investi | les oiseaux qu'elle a vus","4-6"
G,Orthographe grammaticale,G5,"Une erreur d'homophones se corrige par l'identification de la catégorie grammaticale ou un truc de substitution.",,"Ils travaillent ensembles. | en générale. | derrières moi.","Ils travaillent ensemble. | en général. | derrière moi.",6
G,Orthographe grammaticale,G6,"La conjonction, l'adverbe, la préposition et certains noms propres sont invariables.",,"Ils travaillent ensembles. | en générale. | derrières moi.","Ils travaillent ensemble. | en général. | derrière moi.",6
P,Ponctuation et typographie,P1,"Un marqueur de relation est généralement suivi d'une virgule en début de phrase, encadré de virgules en milieu et précédé d'une virgule en fin.",,"C'est l'histoire d'un vieil homme qui s'accroche, à un ordre social révolu depuis longtemps.","C'est l'histoire d'un vieil homme qui s'accroche à un ordre social révolu depuis longtemps.",7-8
P,Ponctuation et typographie,P2,"Le point termine la phrase affirmative; le point d'exclamation la phrase exclamative; le point d'interrogation la phrase interrogative.",,"...aujourd'hui?","...aujourd'hui ?",9
P,Ponctuation et typographie,P3,"Les deux-points introduisent une citation, une énumération ou un exemple; ils ne précèdent pas une citation fusionnée.",,"Il a rapidement rempli panier des denrées suivantes.","Il a rapidement rempli le panier des denrées suivantes.",9
P,Ponctuation et typographie,P4,"Le point-virgule sépare des éléments indépendants étroitement liés.",,"Elle a gagné pasalement d'argent.","Elle a gagné passablement d'argent.",10
P,Ponctuation et typographie,P5,"Les guillemets français encadrent une citation ou un mot tiré d'un texte.",,"Tout le monde connaît cette citation « on ne voit bien qu'avec le cœur.","Tout le monde connaît cette citation : « On ne voit bien qu'avec le cœur.",10
P,Ponctuation et typographie,P6,"Les crochets encadrent toute modification du texte cité.",,"Aragon écrit ... « courait les filles ».","Aragon écrit ... « courait [après] les filles ».",11
P,Ponctuation et typographie,P7,"Les parenthèses encadrent une explication, une précision ou un commentaire.",,"Beaudoin-Bégin rappelle ... la norme prescriptive, elle disparaît...","Beaudoin-Bégin rappelle ... la norme prescriptive; elle disparaît...",11
P,Ponctuation et typographie,P8,"Le tiret lie des numéros de vers, lignes ou pages et peut insérer un passage.",,"La maladie de Crohn - une maladie inflammatoire - ...","La maladie de Crohn — une maladie inflammatoire — ...",12
P,Ponctuation et typographie,P9,"La barre oblique sert de signe de division, séparation ou opposition.",,"conjoncture/conjoncture","conjoncture/conjecture",12
P,Ponctuation et typographie,P10,"La retranscription d'une citation doit être fidèle au texte original.",,"« Il était ivre, ivre de distances, ivre de départ. »","« Il était ivre, ivre de distances, ivre de départ »",12-13
P,Ponctuation et typographie,P11,"La majuscule s'emploie notamment en début de phrase, pour les noms propres, périodes historiques, titres et peuples.",,"... : Elles s'identifient...","... : elles s'identifient...",13-14
P,Ponctuation et typographie,P12,"La voyelle finale s'efface généralement devant une voyelle ou un h muet.",,"ne mets pas d'yogourt","ne mets pas de yogourt",14
P,Ponctuation et typographie,P13,"Les abréviations suivent une convention d'écriture.",,"Mr Gilbert ... 15 kg.","M. Gilbert ... 15 kg",14
P,Ponctuation et typographie,P14,"Un ouvrage complet est souligné manuscritement et en italique au traitement de texte.",,"son essai La stratégie de l'émotion","son essai *La stratégie de l'émotion*",14
P,Ponctuation et typographie,P15,"Le guillemet, la parenthèse et le crochet ouvrants peuvent seuls commencer une ligne.",,"Exemples de disposition typographique dans le PDF.","Disposition conforme aux règles de ligne.",15
P,Ponctuation et typographie,P16,"Les mots sont coupés selon la prononciation, entre syllabes, avec un trait d'union.",,"Coupures déconseillées en fin de paragraphe.","Mots non coupés dans un texte soigné.",15
P,Ponctuation et typographie,P17,"Le trait d'union unit le verbe et les pronoms à l'impératif et certains éléments lexicalisés.",,"Plusieurs d'entre-elles","Plusieurs d'entre elles",15
P,Ponctuation et typographie,P18,"Les accents, trémas et cédilles s'emploient selon l'orthographe du mot.",,"Exemples de signes diacritiques dans le PDF.","Formes orthographiques conformes.",15
P,Ponctuation et typographie,P19,"Les nombres inférieurs à 10 s'écrivent généralement en lettres.",,"avis de cotisation des 2 dernières années","avis de cotisation des deux dernières années",16
S,Syntaxe,S1,"ne/n' s'emploie avec pas, plus, aucun, jamais, personne, etc.",,"Le président n'a jamais cessé...","Le président a jamais cessé...",17
S,Syntaxe,S2,"ne est suivi de que quand il signifie seulement.",,"il n'y a seulement que la prison","il n'y a que la prison",17
S,Syntaxe,S3,"Une phrase complète doit contenir un verbe conjugué.",,"Ce qui relance le débat.","Cela relance le débat.",17-18
S,Syntaxe,S4,"La préposition doit être choisie selon le complément introduit.",,"pallier à certains problèmes","pallier certains problèmes",18
S,Syntaxe,S5,"Les éléments coordonnés doivent avoir une fonction syntaxique équivalente.",,"Tristan aime et joue au hockey.","Tristan aime le hockey et y joue.",18-19
S,Syntaxe,S6,"Le pronom doit avoir un antécédent identifiable.",,"Les vaccins que j'ai besoin...","Les vaccins dont j'ai besoin...",19-20
S,Syntaxe,S7,"Le rapport temporel entre propositions doit être logique.",,"Si les trottoirs seraient déblayés...","Si les trottoirs étaient déblayés...",20
S,Syntaxe,S8,"Le sujet du participe présent sous-entendu doit être celui du verbe principal.",,"Étant en rédaction depuis un an, les effets ... sont analysés.","Étant en rédaction depuis un an, j'analyse les effets...",21
S,Syntaxe,S9,"Certains verbes se conjuguent avec l'auxiliaire être.",,"aucun n'a intervenu","aucun n'est intervenu",21
S,Syntaxe,S10,"La citation doit être intégrée correctement à la phrase.",,"« Je te cherche partout... » avec omission non signalée","« Je te cherche partout ... » avec omission signalée",21-22
S,Syntaxe,S11,"Le déterminant défini désigne un objet connu, précisé et individualisé.",,"Elle s'est cassé sa jambe.","Elle s'est cassé la jambe.",22-23
S,Syntaxe,S12,"Les constituants doivent s'enchaîner selon la syntaxe française.",,"ça l'a été une bonne année","ç'a été une bonne année",23-24
U,Orthographe d'usage,U1,"L'orthographe du mot est à vérifier dans le dictionnaire.",,"nous sommes sensés apercevoir","nous sommes censés apercevoir",25
U,Orthographe d'usage,U2,"L'orthographe de la locution ou expression est à vérifier dans le dictionnaire.",,"font partis de la famille","font partie de la famille",25
U,Orthographe d'usage,U3,"Une erreur de typographie doit être corrigée.",,"Exemples de coquilles du PDF.","Formes corrigées selon le dictionnaire.",25
V,Vocabulaire,V1,"Un mot utilisé dans un sens inapproprié doit être corrigé.",,"Le passage cité démontre une métaphore.","Le passage cité contient une métaphore.",26
V,Vocabulaire,V2,"Un calque ou emprunt à l'anglais doit être corrigé.",,"Il a mis l'emphase...","Il a mis l'accent...",26
V,Vocabulaire,V3,"Une répétition d'une même idée doit être corrigée.",,"Vous devez recommencer à nouveau.","Vous devez recommencer.",26
V,Vocabulaire,V4,"La trop grande récurrence d'un mot ou groupe de mots doit être corrigée.",,"ce vendredi prochain","ce vendredi",26
V,Vocabulaire,V5,"Un mot ou une locution déformé ou non attesté en français doit être corrigé.",,"À prime abord; 1500 têtes d'oreiller","De prime abord; 1500 taies d'oreiller",27
V,Vocabulaire,V6,"Les registres familier, populaire, vulgaire et littéraire ne s'emploient que dans des contextes spécifiques.",,"Exemples de registre dans le PDF.","Formulations adaptées au contexte.",27
V,Vocabulaire,V7,"Un vocabulaire appartenant à une époque antérieure doit être corrigé.",,"pas les couvertes","pas les couvertures",27
